corp,product_line,account_name,page_type,url_template,is_active,notes
SEA,HHP,Bestbuy,main,https://www.bestbuy.com/site/searchpage.jsp?cp={page}&id=pcat17071&st=cellphone,true,
SEA,HHP,Bestbuy,bsr,https://www.bestbuy.com/site/searchpage.jsp?cp={page}&id=pcat17071&sp=Best-Selling&st=cellphone,true,
SEA,HHP,Bestbuy,promotion,https://www.bestbuy.com/site/all-electronics-on-sale/all-cell-phones-on-sale/pcmcat1690895861552?cp={page}&id=pcmcat1690895861552,true,
SEA,HHP,Bestbuy,trend,https://www.bestbuy.com/discover/trending-deals/trending-deals-cell-phones-accessories/pcmcat1752522354177,true,
SEA,HHP,Walmart,main,https://www.walmart.com/search?q=cellphone&page={page}&affinityOverride=default,true,
SEA,HHP,Walmart,bsr,https://www.walmart.com/search?q=cellphone&affinityOverride=default&sort=best_seller&page={page},true,
SEA,HHP,Amazon,main,https://www.amazon.com/s?k=cellphone&page={page}&xpid=d6bhRHR4KHt44&crid=3C0XKQDVBSQ4W&qid=1764078752&sprefix=cellphon%2Caps%2C590&ref=sr_pg_{page},true,
SEA,HHP,Amazon,bsr,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phones/zgbs/wireless/7072561011/ref=zg_bs_pg_{page}_wireless?_encoding=UTF8&pg={page},true,
SEA,TV,Bestbuy,main,https://www.bestbuy.com/site/searchpage.jsp?cp={page}&id=pcat17071&st=tv,true,
SEA,TV,Bestbuy,bsr,https://www.bestbuy.com/site/searchpage.jsp?cp={page}&id=pcat17071&sp=Best-Selling&st=tv,true,
SEA,TV,Bestbuy,trend,https://www.bestbuy.com/discover/trending-deals/trending-deals-tvs-projectors/pcmcat1752523988655,true,
SEA,TV,Bestbuy,promotion,https://www.bestbuy.com/site/all-tv-home-theater-on-sale/tvs-on-sale/pcmcat1720647543741.c?id=pcmcat1720647543741,true,
SEA,TV,Walmart,main,https://www.walmart.com/search?q=tv&page={page}&affinityOverride=default,true,
SEA,TV,Walmart,bsr,https://www.walmart.com/search?q=tv&affinityOverride=default&sort=best_seller&page={page},true,
SEA,REF,Bestbuy,main,https://www.bestbuy.com/site/searchpage.jsp?cp={page}&id=pcat17071&st=refrigerator,true,
SEA,REF,Bestbuy,bsr,https://www.bestbuy.com/site/searchpage.jsp?cp={page}&id=pcat17071&sp=Best-Selling&st=refrigerator,true,
SEA,LDY,Bestbuy,main,https://www.bestbuy.com/site/searchpage.jsp?cp={page}&id=pcat17071&st=washing+machine,true,
SEA,LDY,Bestbuy,bsr,https://www.bestbuy.com/site/searchpage.jsp?cp={page}&id=pcat17071&sp=Best-Selling&st=washing+machine,true,
SEA,TV,Amazon,main,https://www.amazon.com/s?k=tv&page={page}&xpid=d6bhRHR4KHt44&crid=3C0XKQDVBSQ4W&qid=1764078752&sprefix=tv%2Caps%2C590&ref=sr_pg_{page},true,
SEA,TV,Amazon,bsr,https://www.amazon.com/Best-Sellers-Electronics-Televisions/zgbs/electronics/172659/ref=zg_bs_pg_{page}_electronics?_encoding=UTF8&pg={page},true,
SEA,REF,Lowes,main,https://www.lowes.com/search?searchTerm=refrigerator,true,
SEA,LDY,Lowes,main,https://www.lowes.com/search?searchTerm=washing+machine,true,
SEA,REF,Lowes,bsr,https://www.lowes.com/best-sellers/appliances/refrigerators/4294857973,true,
SEA,LDY,Lowes,bsr,https://www.lowes.com/best-sellers/appliances/washers-dryers/washing-machines/4294857977,true,
